'id_car_model','id_car_mark','name','name_rus','id_car_type'
'20706','216','24 Волга',NULL,'1'
'20707','216','310221 Волга',NULL,'1'
'20708','216','31029 Волга',NULL,'1'
'20709','216','3102 Волга',NULL,'1'
'20711','216','31105 Волга',NULL,'1'
'20712','216','3110 Волга',NULL,'1'
'20717','216','Next',NULL,'1'
'20718','216','Газель',NULL,'1'
'20720','216','М-12 ЗиМ',NULL,'1'
'20721','216','М-20 Победа',NULL,'1'
'20722','216','Соболь',NULL,'1'
'20728','219','27175',NULL,'1'
'20738','226','Hardy',NULL,'1'
'20739','226','Master',NULL,'1'
'20740','227','2206',NULL,'1'
'20741','227','2360',NULL,'1'
'20742','227','23602 \"Cargo\"',NULL,'1'
'20743','227','3162 \"Simbir\"',NULL,'1'
'20744','227','3303',NULL,'1'
'20745','227','3741',NULL,'1'
'20746','227','3909',NULL,'1'
'20747','227','39094',NULL,'1'
'20748','227','39625',NULL,'1'
'20749','227','452',NULL,'1'
'20750','291','Roadster V8',NULL,'1'
'20751','286','Saloon',NULL,'1'
'20752','3749','3000',NULL,'1'
'20755','3751','Tonik',NULL,'1'
'20756','3752','BenBen Mini',NULL,'1'
'20758','3753','Ideal',NULL,'1'
'20759','3754','V21',NULL,'1'
'20760','3754','V22',NULL,'1'
'20761','3754','V25',NULL,'1'
'20768','3757','BAW',NULL,'1'
'20771','3757','Fox',NULL,'1'
'20772','3757','Polarsun',NULL,'1'
'20773','3757','Rocky',NULL,'1'
'20774','3757','Shuttle',NULL,'1'
'20775','3757','Target',NULL,'1'
'20777','3758','Way M1',NULL,'1'
'20778','3758','Way M2',NULL,'1'
'20779','3758','Way V1',NULL,'1'
'20780','3759','300',NULL,'1'
'20782','3761','Alto',NULL,'1'
'20783','3761','Chuanqi',NULL,'1'
'20784','3761','City Spirit',NULL,'1'
'20788','3765','GTB Centenaire',NULL,'1'
'20789','3766','C300',NULL,'1'
'20793','3771','E-Car',NULL,'1'
'20794','3772','Maple Hysoul',NULL,'1'
'20795','3772','Maple Marindo',NULL,'1'
'20797','3774','Sunshine',NULL,'1'
'20798','3774','Xingwang',NULL,'1'
'20799','3775','NJ',NULL,'1'
'20800','3776','2110',NULL,'1'
'20801','3776','2111',NULL,'1'
'20802','3776','2310',NULL,'1'
